time,strategy,target,monitored,detected,compromised_node,compromised_ratio,avg_risk,Ud_val,Ua_val
62,Stackelberg,Device28,"['Device13', 'Device28', 'Device17', 'Device33', 'Device35']",True,True,0.7,0.7718,-1.0,1.0
63,Stackelberg,Device17,"['Device13', 'Device17', 'Device33', 'Device35', 'Device16']",True,True,0.72,0.774,-1.0,1.0
64,Stackelberg,Device43,"['Device13', 'Device33', 'Device35', 'Device16', 'Device34']",False,False,0.72,0.7784,0.0,0.0
65,Stackelberg,Device18,"['Device13', 'Device43', 'Device33', 'Device35', 'Device16']",False,False,0.72,0.7844,0.0,0.0
66,Stackelberg,Device35,"['Device13', 'Device43', 'Device33', 'Device18', 'Device35']",False,True,0.74,0.7902,-2.0,2.0
67,Stackelberg,Device13,"['Device13', 'Device43', 'Device33', 'Device18', 'Device16']",True,True,0.76,0.7912,-1.0,1.0
68,Stackelberg,Device34,"['Device43', 'Device33', 'Device18', 'Device16', 'Device34']",True,False,0.76,0.7944,1.0,-1.0
69,Stackelberg,Device16,"['Device43', 'Device33', 'Device34', 'Device18', 'Device16']",False,True,0.78,0.8014,-2.0,2.0
70,Stackelberg,Device45,"['Device43', 'Device33', 'Device34', 'Device18', 'Device22']",False,False,0.78,0.8058,0.0,0.0
71,Stackelberg,Device43,"['Device43', 'Device33', 'Device34', 'Device18', 'Device45']",False,True,0.8,0.8112,-2.0,2.0
72,Stackelberg,Device34,"['Device33', 'Device34', 'Device18', 'Device45', 'Device22']",True,True,0.8,0.8134,-1.0,1.0
73,Stackelberg,Device45,"['Device34', 'Device33', 'Device18', 'Device45', 'Device22']",True,False,0.8,0.8148,1.0,-1.0
74,Stackelberg,Device26,"['Device34', 'Device33', 'Device18', 'Device45', 'Device22']",False,False,0.8,0.821,0.0,0.0
75,Stackelberg,Device18,"['Device34', 'Device33', 'Device18', 'Device26', 'Device45']",True,True,0.8,0.8238,-1.0,1.0
76,Stackelberg,Device33,"['Device18', 'Device34', 'Device33', 'Device26', 'Device45']",True,True,0.8,0.8256,-1.0,1.0
77,Stackelberg,Device34,"['Device33', 'Device18', 'Device34', 'Device26', 'Device45']",True,True,0.82,0.827,-1.0,1.0
78,Stackelberg,Device33,"['Device33', 'Device18', 'Device26', 'Device45', 'Device22']",True,True,0.84,0.828,-1.0,1.0
79,Stackelberg,Device31,"['Device18', 'Device26', 'Device45', 'Device22', 'Device31']",False,False,0.84,0.8336,0.0,0.0
80,Stackelberg,Device26,"['Device18', 'Device26', 'Device45', 'Device31', 'Device22']",True,True,0.84,0.8364,-1.0,1.0
81,Stackelberg,Device11,"['Device18', 'Device26', 'Device45', 'Device31', 'Device22']",False,False,0.84,0.8418,0.0,0.0
82,Stackelberg,Device31,"['Device18', 'Device26', 'Device45', 'Device31', 'Device11']",True,False,0.84,0.8448,1.0,-1.0
83,Stackelberg,Device11,"['Device18', 'Device26', 'Device31', 'Device45', 'Device11']",True,False,0.84,0.8466,1.0,-1.0
84,Stackelberg,Device45,"['Device18', 'Device26', 'Device31', 'Device45', 'Device11']",False,True,0.86,0.852,-2.0,2.0
85,Stackelberg,Device18,"['Device18', 'Device26', 'Device31', 'Device11', 'Device22']",True,True,0.86,0.8536,-1.0,1.0
86,Stackelberg,Device18,"['Device18', 'Device26', 'Device31', 'Device11', 'Device22']",True,True,0.88,0.8536,-1.0,1.0
87,Stackelberg,Device31,"['Device26', 'Device31', 'Device11', 'Device22', 'Device29']",True,True,0.88,0.8568,-1.0,1.0
88,Stackelberg,Device31,"['Device31', 'Device26', 'Device11', 'Device22', 'Device29']",True,True,0.9,0.8572,-1.0,1.0
89,Stackelberg,Device26,"['Device11', 'Device22', 'Device26', 'Device29', 'Device37']",False,True,0.92,0.8614,-2.0,2.0
90,Stackelberg,Device22,"['Device11', 'Device22', 'Device29', 'Device37']",True,False,0.92,0.865,1.0,-1.0
91,Stackelberg,Device22,"['Device11', 'Device22', 'Device29', 'Device37']",True,False,0.92,0.8662,1.0,-1.0
92,Stackelberg,Device22,"['Device11', 'Device22', 'Device29', 'Device37']",True,False,0.92,0.8672,1.0,-1.0
93,Stackelberg,Device22,"['Device11', 'Device22', 'Device29', 'Device37']",True,False,0.92,0.87,1.0,-1.0
94,Stackelberg,Device11,"['Device11', 'Device22', 'Device29', 'Device37']",True,False,0.92,0.8734,1.0,-1.0
95,Stackelberg,Device11,"['Device11', 'Device22', 'Device29', 'Device37']",False,True,0.94,0.8794,-2.0,2.0
96,Stackelberg,Device22,"['Device22', 'Device29', 'Device37']",True,True,0.94,0.882,-1.0,1.0
97,Stackelberg,Device22,"['Device22', 'Device29', 'Device37']",True,True,0.96,0.8838,-1.0,1.0
98,Stackelberg,Device37,"['Device29', 'Device37']",True,False,0.96,0.8858,1.0,-1.0
99,Stackelberg,Device37,"['Device29', 'Device37']",False,False,0.96,0.8902,0.0,0.0
0,Nash,Device27,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,True,0.02,0.536,-2.0,2.0
1,Nash,Device19,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,True,0.04,0.5406,-2.0,2.0
2,Nash,Device32,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,True,0.06,0.546,-2.0,2.0
3,Nash,Device30,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,True,0.08,0.5512,-2.0,2.0
4,Nash,Device44,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,False,0.08,0.556,0.0,0.0
5,Nash,Device1,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,False,0.08,0.56,0.0,0.0
6,Nash,Device35,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,False,0.08,0.565,0.0,0.0
7,Nash,Device25,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",False,True,0.1,0.5696,-2.0,2.0
8,Nash,Device12,"['Device21', 'Device38', 'Device46', 'Device12', 'Device24']",True,True,0.12,0.5696,-1.0,1.0
9,Nash,Device6,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,True,0.14,0.574,-2.0,2.0
10,Nash,Device36,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,False,0.14,0.5804,0.0,0.0
11,Nash,Device41,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,True,0.16,0.5848,-2.0,2.0
12,Nash,Device33,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,False,0.16,0.5894,0.0,0.0
13,Nash,Device28,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,False,0.16,0.594,0.0,0.0
14,Nash,Device17,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,False,0.16,0.5998,0.0,0.0
15,Nash,Device46,"['Device21', 'Device38', 'Device46', 'Device24', 'Device10']",False,True,0.18,0.6024,-2.0,2.0
16,Nash,Device39,"['Device21', 'Device38', 'Device24', 'Device10', 'Device36']",False,False,0.18,0.6076,0.0,0.0
17,Nash,Device47,"['Device21', 'Device38', 'Device24', 'Device10', 'Device36']",False,True,0.2,0.6118,-2.0,2.0
18,Nash,Device28,"['Device21', 'Device38', 'Device24', 'Device10', 'Device36']",False,True,0.22,0.6164,-2.0,2.0
19,Nash,Device38,"['Device21', 'Device38', 'Device24', 'Device10', 'Device36']",True,True,0.24,0.6156,-1.0,1.0
20,Nash,Device21,"['Device21', 'Device24', 'Device10', 'Device36', 'Device48']",True,True,0.26,0.6148,-1.0,1.0
21,Nash,Device24,"['Device24', 'Device10', 'Device36', 'Device48', 'Device44']",False,True,0.28,0.6178,-2.0,2.0
22,Nash,Device5,"['Device10', 'Device36', 'Device48', 'Device44', 'Device42']",False,False,0.28,0.6228,0.0,0.0
23,Nash,Device10,"['Device10', 'Device36', 'Device48', 'Device44', 'Device42']",True,True,0.3,0.6234,-1.0,1.0
24,Nash,Device48,"['Device36', 'Device48', 'Device44', 'Device42', 'Device35']",True,True,0.32,0.6242,-1.0,1.0
25,Nash,Device39,"['Device36', 'Device44', 'Device42', 'Device35', 'Device49']",False,True,0.34,0.6284,-2.0,2.0
26,Nash,Device5,"['Device36', 'Device44', 'Device42', 'Device35', 'Device49']",False,False,0.34,0.6346,0.0,0.0
